Centroid,Voltage Class (kV),Owner
"-97.941336, 35.835803","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-101.911563, 36.791411","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-97.178396, 35.957009","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-102.162179, 35.249664","UNDER 100","SOUTHWESTERN PUBLIC SERVICE CO."
"-93.350262, 30.164725","UNDER 100","ENTERGY LOUISIANA LLC"
"-97.250688, 35.851781","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-98.006299, 36.665825","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-98.647549, 34.369932","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.246911, 34.620128","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.384356, 30.119588","UNDER 100","ENTERGY LOUISIANA LLC"
"-97.855095, 36.549971","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-101.920564, 36.900517","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-94.493540, 33.211336","UNDER 100","BOWIE-CASS ELECTRIC COOP, INC"
"-94.712747, 32.449781","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO."
"-94.263928, 33.702318","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-96.767932, 35.973982","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.304779, 30.239891","UNDER 100","ENTERGY LOUISIANA LLC"
"-94.722988, 32.921508","UNDER 100","BOWIE-CASS ELECTRIC COOP, INC"
"-101.028088, 35.664483","UNDER 100","SOUTHWESTERN PUBLIC SERVICE CO."
"-99.873382, 36.636301","UNDER 100","NOT AVAILABLE"
"-93.437606, 29.855155","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.163122, 30.223883","UNDER 100","ENTERGY LOUISIANA LLC"
"-99.635042, 36.736977","UNDER 100","NOT AVAILABLE"
"-93.367875, 30.183379","UNDER 100","ENTERGY LOUISIANA LLC"
"-99.475978, 34.957794","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-99.368076, 29.304530","UNDER 100","BANDERA ELECTRIC COOP, INC"
"-96.087416, 35.695025","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-102.800170, 32.964055","UNDER 100","SOUTHWESTERN PUBLIC SERVICE CO."
"-93.284333, 30.246454","UNDER 100","ENTERGY LOUISIANA LLC"
"-97.618149, 29.800668","UNDER 100","BLUEBONNET ELECTRIC COOP, INC"
"-97.213051, 34.808192","UNDER 100","NOT AVAILABLE"
"-102.447443, 33.786150","UNDER 100","LAMB COUNTY ELECTRIC COOP, INC"
"-96.739381, 34.956277","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.800423, 32.456694","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-98.584088, 36.834154","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.898410, 32.468284","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-95.060306, 34.751476","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.988857, 36.812710","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-94.182122, 30.089457","UNDER 100","ENTERGY TEXAS, INC."
"-93.339321, 30.157287","UNDER 100","ENTERGY LOUISIANA LLC"
"-97.434037, 29.413768","UNDER 100","BLUEBONNET ELECTRIC COOP, INC"
"-93.273304, 30.795812","UNDER 100","NOT AVAILABLE"
"-99.509934, 34.248354","UNDER 100","AEP TEXAS NORTH CO."
"-96.771660, 35.983014","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.342754, 30.014010","UNDER 100","ENTERGY LOUISIANA LLC"
"-99.630376, 36.802492","UNDER 100","NOT AVAILABLE"
"-93.212551, 30.159638","UNDER 100","ENTERGY LOUISIANA LLC"
"-96.835673, 32.827892","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-97.326029, 31.461142","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-98.253312, 36.604604","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-96.182706, 33.565462","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-94.922808, 29.751098","UNDER 100","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-93.306468, 30.196239","UNDER 100","ENTERGY LOUISIANA LLC"
"-99.316561, 34.619551","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-99.423961, 34.627893","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.188326, 35.560580","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.941072, 35.770471","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-98.489168, 36.528621","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-96.865395, 35.130533","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.177440, 35.130641","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.247737, 34.747367","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-98.426704, 36.391108","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.236770, 34.745491","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.216879, 34.725451","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.202528, 34.666391","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.162408, 34.642689","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.162090, 34.631596","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.166152, 34.632228","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.221663, 34.741537","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.163908, 34.630713","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.159765, 34.629421","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.426155, 30.802137","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-99.873267, 36.680285","UNDER 100","NOT AVAILABLE"
"-101.281828, 37.190442","UNDER 100","PIONEER ELECTRIC COOP, INC - (KS)"
"-97.911753, 34.565329","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.229813, 34.742989","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.895550, 34.557793","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.305524, 34.371031","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-93.022129, 30.238811","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.193461, 30.171519","UNDER 100","ENTERGY LOUISIANA LLC"
"-96.597935, 35.726543","UNDER 100","NOT AVAILABLE"
"-101.877064, 33.312713","UNDER 100","LYNTEGAR ELECTRIC COOP, INC"
"-96.717872, 35.767209","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-98.313369, 34.372392","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.716860, 35.768187","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-96.716869, 35.768550","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-96.441446, 35.833277","UNDER 100","NOT AVAILABLE"
"-99.501950, 34.883030","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.749514, 35.938152","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-96.838101, 35.931661","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-96.611854, 35.986778","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-96.992922, 28.791137","UNDER 100","AEP TEXAS CENTRAL COMPANY"
"-99.143383, 35.732858","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-99.003937, 35.782350","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-99.375676, 36.398090","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-99.389882, 36.420147","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-96.749502, 35.933991","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-99.386726, 36.416691","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-95.623152, 29.473517","UNDER 100","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-93.727146, 32.415087","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-107.693224, 32.258771","UNDER 100","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-93.209742, 30.239907","UNDER 100","ENTERGY LOUISIANA LLC"
"-96.443642, 35.072548","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.851691, 36.393824","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-94.225032, 30.072902","UNDER 100","ENTERGY TEXAS, INC."
"-93.349008, 29.786463","UNDER 100","ENTERGY LOUISIANA LLC"
"-94.383602, 33.651434","UNDER 100","SOUTHWEST ARKANSAS ELECTRIC COOPERATIVE CORORATION"
"-94.412600, 33.695754","UNDER 100","SOUTHWEST ARKANSAS ELECTRIC COOPERATIVE CORORATION"
"-94.414647, 33.698516","UNDER 100","SOUTHWEST ARKANSAS ELECTRIC COOPERATIVE CORORATION"
"-97.924245, 33.487101","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-94.419551, 33.696839","UNDER 100","SOUTHWEST ARKANSAS ELECTRIC COOPERATIVE CORORATION"
"-94.419383, 33.698166","UNDER 100","SOUTHWEST ARKANSAS ELECTRIC COOPERATIVE CORORATION"
"-101.433500, 34.251477","UNDER 100","NOT AVAILABLE"
"-104.152376, 32.247822","UNDER 100","SOUTHWEST PUBLIC SERVICE COMPANY"
"-94.413168, 33.729332","UNDER 100","SOUTHWEST ARKANSAS ELECTRIC COOPERATIVE CORORATION"
"-93.899394, 33.245305","UNDER 100","SOUTHWEST ARKANSAS ELECTRIC COOPERATIVE CORORATION"
"-95.779768, 33.177906","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-93.923539, 33.301374","UNDER 100","SOUTHWEST ARKANSAS ELECTRIC COOPERATIVE CORORATION"
"-93.991944, 33.330082","UNDER 100","SOUTHWEST ARKANSAS ELECTRIC COOPERATIVE CORORATION"
"-93.997852, 33.122227","UNDER 100","SOUTHWEST ARKANSAS ELECTRIC COOPERATIVE CORORATION"
"-97.554145, 35.454947","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-101.446943, 36.676541","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-97.461983, 29.519633","UNDER 100","NOT AVAILABLE"
"-101.458895, 36.711165","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-96.353143, 35.823409","UNDER 100","NOT AVAILABLE"
"-93.730451, 30.104444","UNDER 100","ENTERGY TEXAS, INC."
"-97.038124, 28.655849","UNDER 100","AEP TEXAS CENTRAL COMPANY"
"-95.631806, 29.479571","UNDER 100","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-94.032297, 33.489446","UNDER 100","NOT AVAILABLE"
"-99.890834, 36.710639","UNDER 100","NOT AVAILABLE"
"-93.698838, 32.368156","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-97.564306, 35.102900","UNDER 100","NOT AVAILABLE"
"-93.275157, 30.250117","UNDER 100","ENTERGY LOUISIANA LLC"
"-97.199448, 31.070468","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-100.189577, 32.952817","UNDER 100","BIG COUNTRY ELECTRIC COOP, INC"
"-99.275111, 35.735067","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-93.075149, 30.232521","UNDER 100","ENTERGY LOUISIANA LLC"
"-101.782678, 33.616542","UNDER 100","CITY OF LUBBOCK - (TX)"
"-97.020190, 32.282872","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-98.016399, 34.274861","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-99.448316, 34.993340","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.105694, 32.500760","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-97.875240, 36.380797","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.141989, 30.177015","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.795806, 32.495557","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-93.369347, 30.139728","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.401261, 30.124035","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.228981, 30.168421","UNDER 100","ENTERGY LOUISIANA LLC"
"-101.232624, 35.611485","UNDER 100","SOUTHWESTERN PUBLIC SERVICE CO."
"-97.467711, 34.728527","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-98.841723, 35.516295","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-93.374911, 29.993748","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.324782, 30.193515","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.126659, 30.201467","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.334804, 30.169112","UNDER 100","ENTERGY LOUISIANA LLC"
"-96.770099, 35.967330","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.375523, 30.206770","UNDER 100","ENTERGY LOUISIANA LLC"
"-97.415782, 36.079822","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-100.450680, 31.489997","UNDER 100","AEP TEXAS NORTH CO."
"-98.359577, 30.430345","UNDER 100","NOT AVAILABLE"
"-99.123197, 35.054793","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.964781, 30.752267","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-94.380335, 33.733965","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-101.996277, 36.776670","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-96.960529, 30.713727","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-98.104701, 35.334898","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.060240, 34.763899","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.095115, 29.731282","UNDER 100","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.947849, 35.848264","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.111352, 30.172380","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.334717, 30.196176","UNDER 100","ENTERGY LOUISIANA LLC"
"-102.246430, 36.810064","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-102.247630, 36.810627","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-98.886502, 29.985692","UNDER 100","BANDERA ELECTRIC COOP, INC"
"-97.708199, 26.217476","UNDER 100","BROWNSVILLE PUBLIC UTILITIES BOARD"
"-96.776938, 35.260558","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.118146, 28.279371","UNDER 100","AEP TEXAS CENTRAL CO."
"-93.350711, 30.153624","UNDER 100","ENTERGY LOUISIANA LLC"
"-102.247006, 36.814951","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-95.543469, 29.974424","UNDER 100","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-102.248348, 36.815309","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-102.467240, 36.704482","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-102.467438, 36.704844","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-93.259869, 30.249409","UNDER 100","ENTERGY LOUISIANA LLC"
"-97.847926, 28.127931","UNDER 100","AEP TEXAS CENTRAL CO."
"-103.387004, 30.966618","UNDER 100","AEP TEXAS NORTH CO."
"-98.426634, 36.383058","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-101.919835, 36.791401","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-97.024226, 35.351477","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-99.017337, 35.508185","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-93.346790, 30.186658","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.169480, 30.262613","UNDER 100","ENTERGY LOUISIANA LLC"
"-94.358098, 33.863102","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-96.727944, 35.247651","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-106.390704, 31.773497","UNDER 100","EL PASO ELECTRIC CO."
"-93.347596, 29.802382","UNDER 100","ENTERGY LOUISIANA LLC"
"-105.333478, 33.402004","UNDER 100","OTERO COUNTY ELECTRIC COOPERATIVE"
"-93.274288, 31.105482","UNDER 100","NOT AVAILABLE"
"-93.802289, 32.904733","UNDER 100","NOT AVAILABLE"
"-97.856766, 36.607787","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-101.960191, 36.791290","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-99.332703, 35.036694","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.337913, 30.557866","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-97.884294, 36.355418","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.384264, 30.061265","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.215667, 30.176763","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.317300, 29.794479","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.654449, 32.316259","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-95.578610, 32.913635","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-93.179650, 30.184758","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.315559, 30.198153","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.777427, 32.510816","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-97.310468, 32.697371","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-93.112044, 30.172247","UNDER 100","ENTERGY LOUISIANA LLC"
"-103.370769, 34.984152","UNDER 100","FARMER'S ELECTIRC COOPERATIVE"
"-99.617952, 36.636272","UNDER 100","NOT AVAILABLE"
"-98.203813, 32.937956","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-96.643653, 32.954191","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-93.950538, 32.100876","UNDER 100","NOT AVAILABLE"
"-96.982376, 32.733999","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-93.337158, 30.147387","UNDER 100","ENTERGY LOUISIANA LLC"
"-96.774576, 34.956456","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-99.290074, 34.634299","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.246044, 35.926339","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-101.910475, 35.250689","UNDER 100","SOUTHWESTERN PUBLIC SERVICE CO."
"-102.358052, 31.824922","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-97.341320, 34.614197","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-106.675398, 31.832716","UNDER 100","EL PASO ELECTRIC POWER COMPANY"
"-97.941205, 35.726264","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.388611, 29.993801","UNDER 100","ENTERGY LOUISIANA LLC"
"-103.679919, 33.213695","UNDER 100","LEA COUNTY ELECTRIC COOPERATIVE"
"-98.243293, 36.600240","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-96.903512, 36.041230","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-98.043581, 33.664481","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-101.625586, 32.214046","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-93.260010, 30.249360","UNDER 100","ENTERGY LOUISIANA LLC"
"-98.712383, 35.521555","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.130576, 35.936185","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.179528, 30.168780","UNDER 100","ENTERGY LOUISIANA LLC"
"-97.835509, 36.405261","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-103.165249, 31.844076","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-103.060400, 33.212321","UNDER 100","LEA COUNTY ELECTRIC COOPERATIVE"
"-98.651760, 36.799650","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-98.030229, 34.346679","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-93.351056, 30.326161","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.726019, 32.524149","UNDER 100","NOT AVAILABLE"
"-93.754596, 32.429741","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-93.757787, 32.515161","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-102.368385, 33.097415","UNDER 100","NOT AVAILABLE"
"-100.111143, 31.618547","UNDER 100","NOT AVAILABLE"
"-94.362180, 33.986884","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-97.220287, 35.965020","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-99.630398, 36.778302","UNDER 100","NOT AVAILABLE"
"-93.995203, 32.000281","UNDER 100","NOT AVAILABLE"
"-97.537871, 34.908641","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-98.134332, 36.526911","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-98.426611, 36.455877","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-96.759388, 35.985653","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-96.665225, 33.150858","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-94.028480, 33.460514","UNDER 100","NOT AVAILABLE"
"-97.934427, 35.856902","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-99.836272, 34.647653","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.323424, 32.370578","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-98.415025, 36.061113","UNDER 100","NOT AVAILABLE"
"-99.754833, 34.645318","UNDER 100","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.122947, 36.538333","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-102.480662, 36.715089","UNDER 100","TRI-COUNTY ELECTRIC COOP, INC"
"-93.350411, 30.158095","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.849215, 32.582176","UNDER 100","NOT AVAILABLE"
"-93.761145, 32.563817","UNDER 100","NOT AVAILABLE"
"-103.832834, 30.319650","UNDER 100","AEP TEXAS NORTH CO."
"-93.953630, 31.992695","UNDER 100","NOT AVAILABLE"
"-94.220033, 30.022108","UNDER 100","ENTERGY TEXAS, INC."
"-103.255130, 31.712601","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-93.369302, 29.961114","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.892315, 32.231806","UNDER 100","NOT AVAILABLE"
"-100.426405, 31.451194","UNDER 100","AEP TEXAS NORTH CO."
"-93.323361, 31.245200","UNDER 100","NOT AVAILABLE"
"-93.253241, 31.158490","UNDER 100","NOT AVAILABLE"
"-93.252997, 30.845774","UNDER 100","NOT AVAILABLE"
"-95.341025, 28.948562","UNDER 100","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-93.244699, 30.818082","UNDER 100","NOT AVAILABLE"
"-93.138921, 30.663640","UNDER 100","ENTERGY LOUISIANA LLC"
"-94.116809, 32.592821","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-100.506131, 31.135860","UNDER 100","SOUTHWEST TEXAS ELEC COOP, INC"
"-93.229937, 30.595714","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.244636, 30.817961","UNDER 100","NOT AVAILABLE"
"-93.262874, 31.065407","UNDER 100","NOT AVAILABLE"
"-93.252494, 30.870348","UNDER 100","NOT AVAILABLE"
"-93.242148, 30.726715","UNDER 100","NOT AVAILABLE"
"-93.119062, 31.160083","UNDER 100","NOT AVAILABLE"
"-93.256477, 30.964127","UNDER 100","NOT AVAILABLE"
"-93.232026, 30.558475","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.233216, 30.427327","UNDER 100","ENTERGY LOUISIANA LLC"
"-98.734704, 33.372503","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-93.254220, 31.119299","UNDER 100","NOT AVAILABLE"
"-93.244069, 30.795680","UNDER 100","NOT AVAILABLE"
"-94.018382, 33.426099","UNDER 100","NOT AVAILABLE"
"-99.556265, 36.568216","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.143286, 34.139802","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-101.977987, 31.841867","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-106.508181, 31.776063","UNDER 100","EL PASO ELECTRIC CO."
"-93.691906, 32.896380","UNDER 100","NOT AVAILABLE"
"-102.887478, 33.175590","UNDER 100","LEA COUNTY ELECTRIC COOPERATIVE"
"-102.330454, 33.722700","UNDER 100","LAMB COUNTY ELECTRIC COOP, INC"
"-93.705188, 32.899458","UNDER 100","NOT AVAILABLE"
"-93.719761, 32.801788","UNDER 100","NOT AVAILABLE"
"-95.200316, 29.716555","UNDER 100","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.472786, 32.950182","UNDER 100","NOT AVAILABLE"
"-93.891680, 32.596362","UNDER 100","NOT AVAILABLE"
"-94.038778, 33.375247","UNDER 100","NOT AVAILABLE"
"-93.836786, 32.583292","UNDER 100","NOT AVAILABLE"
"-93.828431, 32.571046","UNDER 100","NOT AVAILABLE"
"-94.229208, 30.063895","UNDER 100","ENTERGY TEXAS, INC."
"-93.800020, 32.558710","UNDER 100","NOT AVAILABLE"
"-93.723161, 32.546524","UNDER 100","NOT AVAILABLE"
"-93.720592, 32.516201","UNDER 100","NOT AVAILABLE"
"-93.726080, 32.517989","UNDER 100","NOT AVAILABLE"
"-103.027212, 31.589251","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-93.737237, 32.440414","UNDER 100","NOT AVAILABLE"
"-93.340824, 30.158094","UNDER 100","ENTERGY LOUISIANA LLC"
"-100.453618, 31.429995","UNDER 100","AEP TEXAS NORTH CO."
"-96.719651, 35.836383","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-97.177390, 35.170090","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.854182, 32.422725","UNDER 100","NOT AVAILABLE"
"-93.893418, 32.442212","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-93.900714, 32.420313","UNDER 100","NOT AVAILABLE"
"-93.911790, 32.444071","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-96.322528, 30.668620","UNDER 100","CITY OF BRYAN - (TX)"
"-93.778504, 32.435718","UNDER 100","NOT AVAILABLE"
"-92.983683, 29.767141","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.339303, 30.157975","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.335527, 30.157851","UNDER 100","ENTERGY LOUISIANA LLC"
"-101.938580, 35.229544","UNDER 100","SOUTHWESTERN PUBLIC SERVICE CO."
"-93.796264, 32.477434","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-99.748256, 32.332514","UNDER 100","AEP TEXAS NORTH CO."
"-97.307346, 32.668692","UNDER 100","ONCOR ELECTRIC DELIVERY CO."
"-93.971194, 32.470784","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-97.937281, 36.058297","UNDER 100","OKLAHOMA GAS & ELECTRIC CO"
"-93.054207, 30.232148","UNDER 100","ENTERGY LOUISIANA LLC"
"-93.836059, 32.485475","UNDER 100","SOUTHWESTERN ELECTRIC POWER CO"
"-93.822258, 32.420281","UNDER 100","NOT AVAILABLE"
"-93.719900, 32.446422","UNDER 100","NOT AVAILABLE"
