Centroid,Voltage Class (kV),Owner
"-98.294061, 30.579582","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.234859, 30.584032","100-161","ONCOR ELECTRIC DELIVERY CO."
"-93.369650, 30.861890","100-161","NOT AVAILABLE"
"-99.371425, 36.342258","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.512054, 35.245124","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.289951, 33.991903","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.547057, 34.085181","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-93.293896, 30.875870","100-161","NOT AVAILABLE"
"-96.829889, 32.782118","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.769605, 30.277735","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.934891, 35.223495","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.848402, 34.359965","100-161","NOT AVAILABLE"
"-96.463130, 33.928589","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.945958, 36.392132","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.338031, 35.377719","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.222929, 32.805639","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.398715, 35.364215","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-94.767014, 34.026744","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.066665, 26.121167","100-161","AEP TEXAS CENTRAL CO."
"-97.474653, 34.677212","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.072980, 32.730081","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.064638, 33.380235","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.129297, 29.753039","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.661879, 32.970661","100-161","ONCOR ELECTRIC DELIVERY CO."
"-93.958730, 32.575076","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-95.447607, 29.684951","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-99.392536, 35.332953","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-94.038237, 31.959626","100-161","NOT AVAILABLE"
"-94.778024, 33.943468","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.012180, 29.532043","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.341543, 34.988391","100-161","SOUTHWESTERN POWER ADMINISTRATION"
"-93.350409, 30.167142","100-161","ENTERGY LOUISIANA LLC"
